1765097868.708,epoch=380,rss=594362368,gc=(13, 0, 0),n_objs=307314,py_threads=1,proc_threads=9,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097885.021,epoch=390,rss=564330496,gc=(13, 0, 0),n_objs=307314,py_threads=1,proc_threads=8,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097900.232,epoch=400,rss=579305472,gc=(13, 0, 0),n_objs=307317,py_threads=1,proc_threads=9,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097903.437,epoch=410,rss=622968832,gc=(13, 0, 0),n_objs=307317,py_threads=1,proc_threads=9,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097906.137,epoch=420,rss=638238720,gc=(13, 0, 0),n_objs=307317,py_threads=1,proc_threads=9,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097909.075,epoch=430,rss=639762432,gc=(13, 0, 0),n_objs=307317,py_threads=1,proc_threads=10,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097911.776,epoch=440,rss=640270336,gc=(13, 0, 0),n_objs=307317,py_threads=1,proc_threads=10,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097914.325,epoch=450,rss=648921088,gc=(13, 0, 0),n_objs=307317,py_threads=1,proc_threads=10,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097916.787,epoch=460,rss=649052160,gc=(13, 0, 0),n_objs=307317,py_threads=1,proc_threads=10,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097919.224,epoch=470,rss=658161664,gc=(13, 0, 0),n_objs=307317,py_threads=1,proc_threads=10,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097921.637,epoch=480,rss=658358272,gc=(13, 0, 0),n_objs=307317,py_threads=1,proc_threads=10,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097924.025,epoch=490,rss=668794880,gc=(13, 0, 0),n_objs=307317,py_threads=1,proc_threads=10,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
1765097926.571,epoch=500,rss=669007872,gc=(13, 0, 0),n_objs=307320,py_threads=1,proc_threads=10,top=File "<frozen importlib._bootstrap_external>", line 784:38116.0KiB;lines = fp.readlines():1177.4KiB;exec(txt, self.globals, ns):886.4KiB;File "<frozen importlib._bootstrap>", line 488:775.6KiB;self._solidcapstyle = None:739.4KiB
